geo,year,value
DE,2021,10.56
DE,2023,11.55
DE,2024,19.75
DE,2025,25.97
DK,2021,23.89
DK,2023,15.17
DK,2024,27.58
DK,2025,42.03
ES,2021,7.67
ES,2023,9.18
ES,2024,11.31
ES,2025,20.27
EU27_2020,2021,7.65
EU27_2020,2023,8.06
EU27_2020,2024,13.48
EU27_2020,2025,19.95
FR,2021,6.67
FR,2023,5.88
FR,2024,9.91
FR,2025,18.16
IT,2021,6.17
IT,2023,5.05
IT,2024,8.2
IT,2025,16.4
PL,2021,2.86
PL,2023,3.67
PL,2024,5.9
PL,2025,8.36
RO,2021,1.38
RO,2023,1.51
RO,2024,3.07
RO,2025,5.21
SE,2021,9.92
SE,2023,10.37
SE,2024,25.09
SE,2025,35.04
